player_no,player_name,rookie_score,definition,graduation_code,age,n_rookie,first_date,last_date,win_rate,top3_rate,rookie_attack,n_attack,mean_st_rookie,st_gap_vs_field,trial_trend
3702,石橋　啓士,1.1320296205364677,term,37,23,76,2025-07-21,2025-12-31,0.21052631578947367,0.35526315789473684,0.049372342296189954,58.0,0.12179755972691114,-0.03100647326380801,-0.0011217638691323293
3806,鈴木　景斗,1.0963897327997532,term,38,27,106,2025-07-19,2026-07-08,0.16037735849056603,0.41509433962264153,0.06942288615416735,72.0,0.12428422522403884,-0.02851980776668031,0.0008031308314327138
3907,柴本　真樹,0.9754227790646695,term,39,20,52,2026-01-14,2026-07-18,0.038461538461538464,0.038461538461538464,0.49983104990689897,38.0,0.15015294725403922,-0.0026510857366799367,-0.00048023563561849574
3808,竹尾　竜星,0.9444582680379234,term,38,27,153,2025-07-21,2026-07-15,0.20261437908496732,0.49019607843137253,-0.01796452795959895,118.0,0.12657040063853003,-0.026233632352189118,2.4877151976155418e-05
3812,藤井　真弘,0.854550230801368,term,38,24,121,2025-07-21,2026-07-15,0.1652892561983471,0.4049586776859504,-0.7656180616286326,99.0,0.09444968676836495,-0.058354346222354206,-0.00017098703888335223
9030,小川　可蓮,0.7693438605992582,term,38,27,144,2025-07-19,2026-07-18,0.041666666666666664,0.0763888888888889,-0.059671756154627324,103.0,0.13204391848611066,-0.02076011450460849,-0.0004274188253061571
3709,森下　　輝,0.7257516813045063,term,37,26,58,2025-07-19,2025-12-21,0.2413793103448276,0.5172413793103449,-1.0042427280383737,44.0,0.08847353498286928,-0.06433049800784987,-0.0003052890847809372
3906,小林　右京,0.6793646339257333,term+debut,39,26,15,2026-01-15,2026-04-07,0.0,0.0,0.104856097671239,13.0,0.14380067216511985,-0.0090033608255993,0.0004285714285714676
3811,日名子　幹正,0.6050160567744622,term,38,24,154,2025-07-19,2026-07-18,0.14935064935064934,0.33116883116883117,-0.2550578343545988,111.0,0.12966501362968935,-0.0231390193610298,-5.7720460090633936e-05
3710,山口　航太,0.5919067416018471,term,37,25,60,2025-07-19,2025-12-26,0.13333333333333333,0.31666666666666665,0.2908607403389417,49.0,0.1564827317297168,0.003678698738997649,-0.0009533203667685914
3801,上原　大輝,0.4170134713743248,term,38,29,135,2025-08-01,2026-07-08,0.16296296296296298,0.48148148148148145,-0.2043218687407869,105.0,0.14013538308067763,-0.012668649910041518,-2.1423980575413265e-06
9037,九門　結衣,0.4139274275264044,term,39,18,60,2026-01-29,2026-07-12,0.05,0.13333333333333333,-0.11651591644858454,51.0,0.14449051772535737,-0.008313515265361782,-0.002200467562828777
3904,岸田　大知,0.38443389953921253,term,39,25,46,2026-01-14,2026-07-18,0.043478260869565216,0.15217391304347827,0.026324640512600996,33.0,0.15262065508106443,-0.000183377909654725,-0.0009380203515263992
3803,運天　諒雅,0.32637107118130243,term,38,22,133,2025-08-01,2026-07-18,0.18045112781954886,0.39097744360902253,-0.37476214501958394,108.0,0.13580904551471762,-0.016994987476001533,-0.000284417872204136
3807,瀬戸尾　侑宏,0.2923730655899871,term,38,23,106,2025-07-19,2026-07-08,0.0660377358490566,0.16981132075471697,-0.6814807170730622,80.0,0.12250852428945941,-0.030295508701259743,-0.00023564171677380996
3814,脇川　大樹,0.29174177821925573,term,38,26,44,2025-08-07,2026-01-30,0.045454545454545456,0.06818181818181818,-0.21747082081156535,31.0,0.1448536021993813,-0.007950430791337865,-0.003566898218061045
9029,菅原　すずの,0.23004472935269576,term+debut,37,22,23,2025-07-21,2026-06-14,0.17391304347826086,0.34782608695652173,-0.23311274653531952,21.0,0.1467364839588863,-0.006067549031832847,-0.0016600790513833712
3703,佐藤　智也,0.13415088706301054,term,37,22,60,2025-07-23,2025-12-26,0.23333333333333334,0.5,-0.5446521704372649,45.0,0.13584781109479613,-0.016956221895923024,-0.00043178660739097516
3902,落合　春翔,0.12498042840939183,term,39,22,60,2026-01-29,2026-07-12,0.1,0.4166666666666667,-0.2389738204382674,50.0,0.1509421306285832,-0.0018619023621359587,-0.00022150789012276984
