player_no,player_name,rookie_score,definition,graduation_code,age,n_rookie,first_date,last_date,win_rate,top3_rate,rookie_attack,n_attack,mean_st_rookie,st_gap_vs_field,trial_trend
3702,石橋　啓士,1.143055618507493,term,37,23,76,2025-07-21,2025-12-31,0.21052631578947367,0.35526315789473684,0.05095010223036963,58.0,0.1217921554196134,-0.030873167017130485,-0.0011217638691323293
3806,鈴木　景斗,1.0741095252481543,term,38,27,104,2025-07-21,2026-07-08,0.16346153846153846,0.41346153846153844,0.04713837688686239,70.0,0.12455234254581174,-0.028112979890932144,0.0008407283749945388
3808,竹尾　竜星,0.9548099170960427,term,38,27,153,2025-07-21,2026-07-15,0.20261437908496732,0.49019607843137253,-0.01608565083801801,118.0,0.1265677159181305,-0.02609760651861337,2.4877151976155418e-05
3907,柴本　真樹,0.9066215929918423,term,39,20,54,2026-01-14,2026-07-20,0.037037037037037035,0.037037037037037035,0.43600896918381116,40.0,0.15066659591772338,-0.0019987265190204995,-0.0005199161425576683
3812,藤井　真弘,0.8550305168626182,term,38,24,121,2025-07-21,2026-07-15,0.1652892561983471,0.4049586776859504,-0.7624363987327964,99.0,0.09444624766372092,-0.05821907477302296,-0.00017098703888335223
9030,小川　可蓮,0.7743909605173218,term,38,27,142,2025-09-27,2026-07-18,0.04225352112676056,0.07746478873239436,-0.055668379591633066,102.0,0.13234719421743218,-0.0203181282193117,-0.0003882443597756939
3709,森下　　輝,0.7634142461319122,term,37,26,56,2025-07-21,2025-12-21,0.25,0.5357142857142857,-0.9523331302431224,42.0,0.08910337874672813,-0.06356194369001575,-0.00030303030303026975
3906,小林　右京,0.6934629690908786,term+debut,39,26,15,2026-01-15,2026-04-07,0.0,0.0,0.10786583222341929,13.0,0.1437775537394573,-0.00888776869728658,0.0004285714285714676
3811,日名子　幹正,0.6264887215877035,term,38,24,152,2025-07-26,2026-07-18,0.1513157894736842,0.3355263157894737,-0.240467947780827,110.0,0.12965786820598837,-0.02300745423075551,-2.252856883729515e-05
3710,山口　航太,0.5736502799753642,term,37,25,58,2025-07-21,2025-12-26,0.1206896551724138,0.3103448275862069,0.28786429488808574,47.0,0.15767206503787268,0.005006742601128794,-0.0011344550739795436
9037,九門　結衣,0.42551091901804494,term,39,18,60,2026-01-29,2026-07-12,0.05,0.13333333333333333,-0.11250369508743524,51.0,0.14448380592435858,-0.0081815165123853,-0.002200467562828777
3801,上原　大輝,0.4254516177416329,term,38,29,135,2025-08-01,2026-07-08,0.16296296296296298,0.48148148148148145,-0.20181596597041523,105.0,0.14013232328904585,-0.012532999147698037,-2.1423980575413265e-06
3904,岸田　大知,0.37556038549830123,term,39,25,48,2026-01-14,2026-07-20,0.0625,0.16666666666666666,0.016392048902470722,35.0,0.15290188171196534,0.00023655927522145404,-0.0012342596613114012
3803,運天　諒雅,0.306212876598372,term,38,22,135,2025-08-01,2026-07-20,0.17777777777777778,0.3851851851851852,-0.39682406245855595,110.0,0.13572055858316345,-0.01694476385358043,-0.00026325991369195706
3814,脇川　大樹,0.30111024238882345,term,38,26,44,2025-08-07,2026-01-30,0.045454545454545456,0.06818181818181818,-0.21414352479141524,31.0,0.14484435482911626,-0.007820967607627627,-0.003566898218061045
9029,菅原　すずの,0.23779588798665308,term,37,22,23,2025-07-21,2026-06-14,0.17391304347826086,0.34782608695652173,-0.23116668039685934,21.0,0.14671983869240926,-0.005945483744334623,-0.0016600790513833712
3807,瀬戸尾　侑宏,0.21818075604898118,term,38,23,104,2025-07-21,2026-07-08,0.057692307692307696,0.16346153846153846,-0.7362833449392907,78.0,0.12293329492676412,-0.02973202750997976,-0.00021921539340155407
